team,name,result,points
Seminargruppe horizontale Spruenge,690,25.0,1438.0
Seminargruppe horizontale Spruenge,693,24.0,1235.0
Seminargruppe horizontale Spruenge,696,23.0,1047.0
Seminargruppe horizontale Spruenge,687,22.0,873.0
Seminargruppe horizontale Spruenge,688,22.0,873.0
Seminargruppe horizontale Spruenge,689,22.0,873.0
,SUM,,6339.0
Turbo Tiger,660,24.0,1235.0
Turbo Tiger,663,24.0,1235.0
Turbo Tiger,661,23.0,1047.0
Turbo Tiger,665,23.0,1047.0
Turbo Tiger,658,22.0,873.0
Turbo Tiger,659,22.0,873.0
,SUM,,6310.0
Master of Health Science ,683,24.0,1235.0
Master of Health Science ,678,23.0,1047.0
Master of Health Science ,679,23.0,1047.0
Master of Health Science ,681,23.0,1047.0
Master of Health Science ,682,23.0,1047.0
Master of Health Science ,685,22.0,873.0
,SUM,,6296.0
Putzbrunner Panther,653,23.0,1047.0
Putzbrunner Panther,654,23.0,1047.0
Putzbrunner Panther,649,22.0,873.0
Putzbrunner Panther,650,22.0,873.0
Putzbrunner Panther,651,22.0,873.0
Putzbrunner Panther,652,20.0,571.0
,SUM,,5284.0
Bunte Hunde,643,25.0,1438.0
Bunte Hunde,638,22.0,873.0
Bunte Hunde,639,21.0,715.0
Bunte Hunde,644,21.0,715.0
Bunte Hunde,645,21.0,715.0
Bunte Hunde,642,20.0,571.0
,SUM,,5027.0
Jahn Speedies Junior 1,698,25.0,1438.0
Jahn Speedies Junior 1,702,22.0,873.0
Jahn Speedies Junior 1,703,22.0,873.0
Jahn Speedies Junior 1,701,21.0,715.0
Jahn Speedies Junior 1,700,20.0,571.0
Jahn Speedies Junior 1,699,19.0,443.0
,SUM,,4913.0
Mini Adler,672,23.0,1047.0
Mini Adler,673,22.0,873.0
Mini Adler,671,21.0,715.0
Mini Adler,674,21.0,715.0
Mini Adler,668,20.0,571.0
Mini Adler,669,19.0,443.0
,SUM,,4364.0
Hase,706,23.0,1047.0
Hase,707,22.0,873.0
Hase,710,21.0,715.0
Hase,704,20.0,571.0
Hase,705,20.0,571.0
Hase,708,20.0,571.0
,SUM,,4348.0
Manzoschule,719,22.0,873.0
Manzoschule,720,21.0,715.0
Manzoschule,717,20.0,571.0
Manzoschule,712,20.0,571.0
Manzoschule,716,19.0,443.0
Manzoschule,718,19.0,443.0
,SUM,,3616.0
