team,name,result,points
Adler,721,219.0,980.0
Adler,726,218.0,965.0
Adler,724,206.0,795.0
Adler,723,188.0,569.0
Adler,725,185.0,534.0
Adler,728,183.0,512.0
,SUM,,4355.0
USC Schlagball,744,240.0,1313.0
USC Schlagball,749,191.0,604.0
USC Schlagball,742,190.0,592.0
USC Schlagball,747,187.0,557.0
USC Schlagball,748,187.0,557.0
USC Schlagball,743,185.0,534.0
,SUM,,4157.0
Wolfe,731,200.0,716.0
Wolfe,734,198.0,691.0
Wolfe,732,194.0,641.0
Wolfe,722,192.0,616.0
Wolfe,729,186.0,546.0
Wolfe,730,174.0,416.0
,SUM,,3626.0
Quantensprung,760,202.0,742.0
Quantensprung,752,192.0,616.0
Quantensprung,757,191.0,604.0
Quantensprung,755,190.0,592.0
Quantensprung,761,188.0,569.0
Quantensprung,753,162.0,303.0
,SUM,,3426.0
Kangurus,736,200.0,716.0
Kangurus,741,196.0,665.0
Kangurus,737,188.0,569.0
Kangurus,646,173.0,406.0
Kangurus,735,163.0,311.0
Kangurus,739,152.0,220.0
,SUM,,2887.0
Jahn Speedies,763,194.0,641.0
Jahn Speedies,768,185.0,534.0
Jahn Speedies,769,183.0,512.0
Jahn Speedies,767,168.0,357.0
Jahn Speedies,764,160.0,285.0
Jahn Speedies,765,150.0,205.0
,SUM,,2534.0
