team,name,result,points
Wilde Pferde,585,53.0,2166.0
Wilde Pferde,584,48.0,1633.0
Wilde Pferde,582,45.0,1350.0
Wilde Pferde,587,43.0,1176.0
Wilde Pferde,586,33.0,486.0
Wilde Pferde,583,33.0,486.0
,SUM,,7297.0
Kickstart Kompetenz,635,49.0,1734.0
Kickstart Kompetenz,631,45.0,1350.0
Kickstart Kompetenz,629,40.0,937.0
Kickstart Kompetenz,637,37.0,726.0
Kickstart Kompetenz,636,35.0,600.0
Kickstart Kompetenz,632,33.0,486.0
,SUM,,5833.0
Putzbrunner Pagheeras,578,43.0,1176.0
Putzbrunner Pagheeras,574,42.0,1093.0
Putzbrunner Pagheeras,572,40.0,937.0
Putzbrunner Pagheeras,575,40.0,937.0
Putzbrunner Pagheeras,573,33.0,486.0
Putzbrunner Pagheeras,576,33.0,486.0
,SUM,,5115.0
Chilli Willi,568,40.0,937.0
Chilli Willi,564,35.0,600.0
Chilli Willi,570,35.0,600.0
Chilli Willi,565,34.0,541.0
Chilli Willi,567,34.0,541.0
Chilli Willi,563,32.0,433.0
,SUM,,3652.0
Manzoschule,610,43.0,1176.0
Manzoschule,619,43.0,1176.0
Manzoschule,612,33.0,486.0
Manzoschule,611,29.0,294.0
Manzoschule,615,29.0,294.0
Manzoschule,613,27.0,216.0
,SUM,,3642.0
Jahn Speedies jun 2,590,44.0,1261.0
Jahn Speedies jun 2,591,40.0,937.0
Jahn Speedies jun 2,594,33.0,486.0
Jahn Speedies jun 2,589,29.0,294.0
Jahn Speedies jun 2,592,29.0,294.0
Jahn Speedies jun 2,595,28.0,253.0
,SUM,,3525.0
Startblock Stipendiaten,627,31.0,384.0
Startblock Stipendiaten,628,30.0,337.0
Startblock Stipendiaten,622,29.0,294.0
Startblock Stipendiaten,623,29.0,294.0
Startblock Stipendiaten,624,29.0,294.0
Startblock Stipendiaten,621,26.0,181.0
,SUM,,1784.0
Schnelle Blitze,602,31.0,384.0
Schnelle Blitze,598,30.0,337.0
Schnelle Blitze,596,29.0,294.0
Schnelle Blitze,599,28.0,253.0
Schnelle Blitze,597,27.0,216.0
Schnelle Blitze,601,26.0,181.0
,SUM,,1665.0
