team,name,result,points
Adler,39,280.0,382.0
Adler,37,268.0,360.0
Adler,42,265.0,354.0
Adler,32,265.0,354.0
Adler,38,265.0,354.0
Adler,33,258.0,341.0
,SUM,,2145.0
Renngeisis 1,1,300.0,421.0
Renngeisis 1,6,270.0,363.0
Renngeisis 1,3,253.0,332.0
Renngeisis 1,2,243.0,313.0
Renngeisis 1,18,242.0,312.0
Renngeisis 1,17,241.0,310.0
,SUM,,2051.0
Lehrstuhl fur angewandte Schlagballbeschleunigung,84,260.0,345.0
Lehrstuhl fur angewandte Schlagballbeschleunigung,88,258.0,341.0
Lehrstuhl fur angewandte Schlagballbeschleunigung,92,255.0,335.0
Lehrstuhl fur angewandte Schlagballbeschleunigung,87,252.0,330.0
Lehrstuhl fur angewandte Schlagballbeschleunigung,86,240.0,308.0
Lehrstuhl fur angewandte Schlagballbeschleunigung,90,230.0,290.0
,SUM,,1949.0
Jahn-Speedies,75,267.0,358.0
Jahn-Speedies,79,260.0,345.0
Jahn-Speedies,76,247.0,321.0
Jahn-Speedies,83,242.0,312.0
Jahn-Speedies,81,237.0,303.0
Jahn-Speedies,78,232.0,294.0
,SUM,,1933.0
Wolfe,43,255.0,335.0
Wolfe,48,254.0,333.0
Wolfe,51,251.0,328.0
Wolfe,49,248.0,323.0
Wolfe,46,232.0,294.0
Wolfe,47,230.0,290.0
,SUM,,1903.0
Renngeisis 2,13,265.0,354.0
Renngeisis 2,9,262.0,348.0
Renngeisis 2,8,248.0,323.0
Renngeisis 2,11,238.0,304.0
Renngeisis 2,14,228.0,287.0
Renngeisis 2,23,225.0,281.0
,SUM,,1897.0
Kangurus,106,275.0,373.0
Kangurus,111,260.0,345.0
Kangurus,107,225.0,281.0
Kangurus,112,225.0,281.0
Kangurus,109,205.0,247.0
Kangurus,110,200.0,239.0
,SUM,,1766.0
Forschungsgruppe Quantensprung,101,266.0,356.0
Forschungsgruppe Quantensprung,98,220.0,273.0
Forschungsgruppe Quantensprung,96,219.0,271.0
Forschungsgruppe Quantensprung,100,216.0,266.0
Forschungsgruppe Quantensprung,95,215.0,264.0
Forschungsgruppe Quantensprung,97,210.0,255.0
,SUM,,1685.0
Manzoschule,65,258.0,341.0
Manzoschule,74,238.0,304.0
Manzoschule,71,204.0,245.0
Manzoschule,70,202.0,242.0
Manzoschule,72,192.0,225.0
Manzoschule,73,158.0,171.0
,SUM,,1528.0
