team,name,result,points
adler,212,9.45,552.0
adler,214,9.62,532.0
adler,207,9.72,520.0
adler,204,10.23,460.0
adler,209,10.25,458.0
adler,205,10.35,447.0
,SUM,,2969.0
jahn speedies,329,9.88,501.0
jahn speedies,328,9.92,496.0
jahn speedies,320,10.78,400.0
jahn speedies,323,10.8,398.0
jahn speedies,321,11.11,365.0
jahn speedies,322,11.34,342.0
,SUM,,2502.0
lehrstuhl,189,10.02,485.0
lehrstuhl,187,10.36,446.0
lehrstuhl,194,10.64,415.0
lehrstuhl,195,10.64,415.0
lehrstuhl,191,11.01,375.0
lehrstuhl,192,11.21,355.0
,SUM,,2491.0
renngeisis eins,174,10.19,465.0
renngeisis eins,169,10.51,429.0
renngeisis eins,175,10.74,404.0
renngeisis eins,173,10.99,378.0
renngeisis eins,171,11.07,369.0
renngeisis eins,170,11.58,318.0
,SUM,,2363.0
wolfe,225,10.05,481.0
wolfe,224,10.72,406.0
wolfe,215,10.76,402.0
wolfe,218,11.28,348.0
wolfe,221,11.39,336.0
wolfe,219,11.87,290.0
,SUM,,2263.0
quantensprung,203,10.14,471.0
quantensprung,202,10.48,432.0
quantensprung,196,10.61,418.0
quantensprung,200,10.72,406.0
quantensprung,190,12.55,228.0
quantensprung,198,13.56,148.0
,SUM,,2103.0
grunwald,243,10.87,390.0
grunwald,233,10.97,380.0
grunwald,239,11.11,365.0
grunwald,238,11.13,363.0
grunwald,242,11.71,305.0
grunwald,241,11.88,289.0
,SUM,,2092.0
manzoschule,390,10.35,447.0
manzoschule,299,10.65,414.0
manzoschule,398,11.48,328.0
manzoschule,389,11.5,326.0
manzoschule,388,11.79,297.0
manzoschule,297,13.18,176.0
,SUM,,1988.0
springende kangurus,286,10.49,431.0
springende kangurus,288,11.04,372.0
springende kangurus,285,11.49,327.0
springende kangurus,289,11.71,305.0
springende kangurus,287,11.87,290.0
springende kangurus,290,12.39,242.0
,SUM,,1967.0
gazelle haidhausen,293,11.18,358.0
gazelle haidhausen,295,11.81,295.0
gazelle haidhausen,294,12.43,239.0
gazelle haidhausen,291,12.72,214.0
gazelle haidhausen,292,12.94,196.0
gazelle haidhausen,391,12.99,191.0
,SUM,,1493.0
