team,name,result,points
adler,207,12.0,222.0
adler,217,12.0,222.0
adler,205,11.0,203.0
adler,208,11.0,203.0
adler,212,11.0,203.0
adler,204,10.0,185.0
,SUM,,1238.0
renngeisis eins,169,11.0,203.0
renngeisis eins,172,11.0,203.0
renngeisis eins,173,11.0,203.0
renngeisis eins,174,10.0,185.0
renngeisis eins,176,10.0,185.0
renngeisis eins,170,9.0,166.0
,SUM,,1145.0
lehrstuhl fur angewandte schlagballbeschleunigung,187,11.0,203.0
lehrstuhl fur angewandte schlagballbeschleunigung,195,11.0,203.0
lehrstuhl fur angewandte schlagballbeschleunigung,189,10.0,185.0
lehrstuhl fur angewandte schlagballbeschleunigung,194,10.0,185.0
lehrstuhl fur angewandte schlagballbeschleunigung,188,9.0,166.0
lehrstuhl fur angewandte schlagballbeschleunigung,191,8.0,148.0
,SUM,,1090.0
ts jahn speedies,326,10.0,185.0
ts jahn speedies,329,10.0,185.0
ts jahn speedies,321,9.0,166.0
ts jahn speedies,322,9.0,166.0
ts jahn speedies,323,9.0,166.0
ts jahn speedies,328,9.0,166.0
,SUM,,1034.0
quantensprung,202,11.0,203.0
quantensprung,196,10.0,185.0
quantensprung,200,10.0,185.0
quantensprung,198,8.0,148.0
quantensprung,203,8.0,148.0
quantensprung,190,7.0,129.0
,SUM,,998.0
grunwald,239,10.0,185.0
grunwald,243,10.0,185.0
grunwald,240,9.0,166.0
grunwald,238,9.0,166.0
grunwald,241,8.0,148.0
grunwald,242,8.0,148.0
,SUM,,998.0
wolfe,216,10.0,185.0
wolfe,224,10.0,185.0
wolfe,219,9.0,166.0
wolfe,221,9.0,166.0
wolfe,215,8.0,148.0
wolfe,217,8.0,148.0
,SUM,,998.0
springende kangurus,285,11.0,203.0
springende kangurus,286,10.0,185.0
springende kangurus,287,8.0,148.0
springende kangurus,289,8.0,148.0
springende kangurus,288,7.0,129.0
springende kangurus,290,5.0,92.0
,SUM,,905.0
manzoschule,299,10.0,185.0
manzoschule,388,9.0,166.0
manzoschule,398,8.0,148.0
manzoschule,297,7.0,129.0
manzoschule,390,7.0,129.0
manzoschule,296,7.0,129.0
,SUM,,886.0
gazelle haidhausen,293,8.0,148.0
gazelle haidhausen,295,8.0,148.0
gazelle haidhausen,291,5.0,92.0
gazelle haidhausen,292,5.0,92.0
gazelle haidhausen,294,4.0,74.0
gazelle haidhausen,391,4.0,74.0
,SUM,,628.0
