team,name,result,points
adler,207,8.0,456.0
adler,213,7.0,396.0
adler,204,6.5,366.0
adler,212,6.5,366.0
adler,205,6.0,337.0
adler,214,5.5,307.0
,SUM,,2228.0
ts jahn speedies,323,6.5,366.0
ts jahn speedies,328,6.0,337.0
ts jahn speedies,321,5.5,307.0
ts jahn speedies,327,5.5,307.0
ts jahn speedies,329,5.5,307.0
ts jahn speedies,326,5.0,278.0
,SUM,,1902.0
wolfe,216,6.0,337.0
wolfe,221,6.0,337.0
wolfe,225,6.0,337.0
wolfe,219,5.0,278.0
wolfe,22,4.5,249.0
wolfe,215,4.0,220.0
,SUM,,1758.0
lehrstuhl fur angewandte schlagballbeschleunigung,187,6.0,337.0
lehrstuhl fur angewandte schlagballbeschleunigung,194,5.5,307.0
lehrstuhl fur angewandte schlagballbeschleunigung,188,5.0,278.0
lehrstuhl fur angewandte schlagballbeschleunigung,189,5.0,278.0
lehrstuhl fur angewandte schlagballbeschleunigung,193,5.0,278.0
lehrstuhl fur angewandte schlagballbeschleunigung,192,4.5,249.0
,SUM,,1727.0
renngeisis eins,175,6.0,337.0
renngeisis eins,169,5.5,307.0
renngeisis eins,171,5.0,278.0
renngeisis eins,172,4.5,249.0
renngeisis eins,173,4.5,249.0
renngeisis eins,174,4.5,249.0
,SUM,,1669.0
quantensprung,200,6.0,337.0
quantensprung,196,5.5,307.0
quantensprung,203,5.5,307.0
quantensprung,202,5.0,278.0
quantensprung,190,4.5,249.0
quantensprung,198,3.5,191.0
,SUM,,1669.0
grunwald,240,5.5,307.0
grunwald,241,5.5,307.0
grunwald,238,5.0,278.0
grunwald,243,5.0,278.0
grunwald,237,4.5,249.0
grunwald,233,4.5,249.0
,SUM,,1668.0
manzoschule,299,6.0,337.0
manzoschule,389,5.5,307.0
manzoschule,388,5.0,278.0
manzoschule,390,5.0,278.0
manzoschule,398,4.5,249.0
manzoschule,297,3.5,191.0
,SUM,,1640.0
springende kangurus,285,6.0,337.0
springende kangurus,286,6.0,337.0
springende kangurus,288,5.0,278.0
springende kangurus,287,4.5,249.0
springende kangurus,290,4.0,220.0
springende kangurus,289,3.5,191.0
,SUM,,1612.0
gazelle haidhausen,293,7.5,426.0
gazelle haidhausen,295,5.0,278.0
gazelle haidhausen,294,4.5,249.0
gazelle haidhausen,292,3.5,191.0
gazelle haidhausen,391,3.0,162.0
gazelle haidhausen,291,2.5,134.0
,SUM,,1440.0
