team,name,result,points
masters of health,505,110.0,866.0
masters of health,501,90.0,606.0
masters of health,507,90.0,606.0
masters of health,509,90.0,606.0
masters of health,504,80.0,485.0
masters of health,506,80.0,485.0
,SUM,,3654.0
turbo tiger,476,100.0,733.0
turbo tiger,474,90.0,606.0
turbo tiger,478,80.0,485.0
turbo tiger,472,70.0,372.0
turbo tiger,475,70.0,372.0
turbo tiger,477,70.0,372.0
,SUM,,2940.0
horizontale sprunge,517,90.0,606.0
horizontale sprunge,510,80.0,485.0
horizontale sprunge,513,80.0,485.0
horizontale sprunge,514,80.0,485.0
horizontale sprunge,518,80.0,485.0
horizontale sprunge,511,70.0,372.0
,SUM,,2918.0
panther,459,80.0,485.0
panther,460,80.0,485.0
panther,462,80.0,485.0
panther,464,80.0,485.0
panther,562,80.0,485.0
panther,463,70.0,372.0
,SUM,,2797.0
Bunte Hunde,451,80.0,485.0
Bunte Hunde,448,80.0,485.0
Bunte Hunde,445,80.0,485.0
Bunte Hunde,444,80.0,485.0
Bunte Hunde,450,80.0,485.0
Bunte Hunde,452,70.0,372.0
,SUM,,2797.0
Mini Adler,482,90.0,606.0
Mini Adler,485,80.0,485.0
Mini Adler,479,70.0,372.0
Mini Adler,480,70.0,372.0
Mini Adler,484,70.0,372.0
Mini Adler,481,60.0,267.0
,SUM,,2474.0
