team,name,result,points
Adler,418,135.0,1148.0
Adler,419,125.0,998.0
Adler,420,120.0,925.0
Adler,424,120.0,925.0
Adler,417,115.0,854.0
Adler,416,110.0,784.0
,SUM,,5634.0
Powerkids,523,130.0,1072.0
Powerkids,519,120.0,925.0
Powerkids,520,120.0,925.0
Powerkids,522,120.0,925.0
Powerkids,525,115.0,854.0
Powerkids,410,115.0,854.0
,SUM,,5555.0
Schlagball besch,528,130.0,1072.0
Schlagball besch,526,125.0,998.0
Schlagball besch,534,110.0,784.0
Schlagball besch,539,105.0,717.0
Schlagball besch,532,105.0,717.0
Schlagball besch,531,105.0,717.0
,SUM,,5005.0
Rennmause,408,115.0,854.0
Rennmause,414,115.0,854.0
Rennmause,411,110.0,784.0
Rennmause,413,105.0,717.0
Rennmause,415,105.0,717.0
Rennmause,524,105.0,717.0
,SUM,,4643.0
Kangurus,437,115.0,854.0
Kangurus,439,110.0,784.0
Kangurus,441,110.0,784.0
Kangurus,435,105.0,717.0
Kangurus,436,105.0,717.0
Kangurus,442,105.0,717.0
,SUM,,4573.0
Wolfe,427,120.0,925.0
Wolfe,429,110.0,784.0
Wolfe,433,105.0,717.0
Wolfe,426,100.0,651.0
Wolfe,431,100.0,651.0
Wolfe,434,100.0,651.0
,SUM,,4379.0
rottag egern,469,115.0,854.0
rottag egern,466,115.0,854.0
rottag egern,467,110.0,784.0
rottag egern,468,110.0,784.0
rottag egern,465,105.0,717.0
rottag egern,470,70.0,297.0
,SUM,,4290.0
Gazelle,547,105.0,717.0
Gazelle,548,90.0,524.0
Gazelle,550,90.0,524.0
Gazelle,552,90.0,524.0
Gazelle,553,90.0,524.0
Gazelle,549,80.0,406.0
,SUM,,3219.0
