team,name,result,points
Powerkids,520,38.5,522.0
Powerkids,523,33.5,449.0
Powerkids,519,32.0,428.0
Powerkids,522,31.0,413.0
Powerkids,410,30.5,406.0
Powerkids,525,24.0,313.0
,SUM,,2531.0
Lehrstuhl Schlagball,526,35.7,481.0
Lehrstuhl Schlagball,528,30.4,405.0
Lehrstuhl Schlagball,534,28.7,380.0
Lehrstuhl Schlagball,537,28.5,377.0
Lehrstuhl Schlagball,527,27.3,360.0
Lehrstuhl Schlagball,539,26.9,354.0
,SUM,,2357.0
Adler,416,29.0,384.0
Adler,417,29.0,384.0
Adler,420,28.0,370.0
Adler,423,28.0,370.0
Adler,418,26.0,342.0
Adler,421,25.0,327.0
,SUM,,2177.0
Rennmause,524,32.0,428.0
Rennmause,411,30.5,406.0
Rennmause,408,30.0,399.0
Rennmause,414,24.5,320.0
Rennmause,413,24.0,313.0
Rennmause,415,19.5,250.0
,SUM,,2116.0
Wolfe,427,29.2,387.0
Wolfe,429,27.8,367.0
Wolfe,426,20.6,266.0
Wolfe,430,20.5,264.0
Wolfe,428,19.5,250.0
Wolfe,434,18.7,239.0
,SUM,,1773.0
Rottach Egern,468,40.0,544.0
Rottach Egern,466,23.6,308.0
Rottach Egern,469,19.1,245.0
Rottach Egern,465,17.8,227.0
Rottach Egern,467,16.7,212.0
Rottach Egern,470,12.7,157.0
,SUM,,1693.0
Gazelle,547,26.1,343.0
Gazelle,554,21.2,274.0
Gazelle,552,20.3,261.0
Gazelle,553,20.0,257.0
Gazelle,550,14.7,184.0
Gazelle,548,14.0,175.0
,SUM,,1494.0
Kangurus,442,23.1,301.0
Kangurus,438,19.4,249.0
Kangurus,435,19.1,245.0
Kangurus,437,18.9,242.0
Kangurus,439,18.0,230.0
Kangurus,440,16.6,210.0
,SUM,,1477.0
