team,name,result,points
Master of Health,682,192.0,880.0
Master of Health,684,183.0,772.0
Master of Health,779,182.0,761.0
Master of Health,683,180.0,738.0
Master of Health,685,175.0,682.0
Master of Health,676,170.0,627.0
,SUM,,4460.0
Seminargruppe Sprunge,751,190.0,856.0
Seminargruppe Sprunge,690,186.0,808.0
Seminargruppe Sprunge,691,177.0,704.0
Seminargruppe Sprunge,682,174.0,671.0
Seminargruppe Sprunge,695,172.0,649.0
Seminargruppe Sprunge,693,170.0,627.0
,SUM,,4315.0
Turbo Tiger,665,181.0,749.0
Turbo Tiger,662,176.0,693.0
Turbo Tiger,658,175.0,682.0
Turbo Tiger,661,175.0,682.0
Turbo Tiger,659,166.0,585.0
Turbo Tiger,660,158.0,505.0
,SUM,,3896.0
Jahn Speedies Jun 1,702,184.0,784.0
Jahn Speedies Jun 1,700,167.0,596.0
Jahn Speedies Jun 1,701,167.0,596.0
Jahn Speedies Jun 1,698,160.0,524.0
Jahn Speedies Jun 1,703,160.0,524.0
Jahn Speedies Jun 1,699,152.0,448.0
,SUM,,3472.0
Bunte Hunde,637,169.0,617.0
Bunte Hunde,642,169.0,617.0
Bunte Hunde,638,168.0,606.0
Bunte Hunde,643,157.0,495.0
Bunte Hunde,641,155.0,476.0
Bunte Hunde,645,155.0,476.0
,SUM,,3287.0
Manzoschule,719,180.0,738.0
Manzoschule,712,172.0,649.0
Manzoschule,717,157.0,495.0
Manzoschule,720,157.0,495.0
Manzoschule,718,146.0,393.0
Manzoschule,715,142.0,359.0
,SUM,,3129.0
Mini Adler,673,175.0,682.0
Mini Adler,668,171.0,638.0
Mini Adler,672,163.0,555.0
Mini Adler,674,155.0,476.0
Mini Adler,671,143.0,367.0
Mini Adler,669,141.0,350.0
,SUM,,3068.0
Hase und Igel,706,181.0,749.0
Hase und Igel,710,169.0,617.0
Hase und Igel,708,165.0,575.0
Hase und Igel,707,152.0,448.0
Hase und Igel,705,140.0,342.0
Hase und Igel,709,134.0,294.0
,SUM,,3025.0
Putzbrunner Panther,651,173.0,660.0
Putzbrunner Panther,650,164.0,565.0
Putzbrunner Panther,649,153.0,457.0
Putzbrunner Panther,654,147.0,402.0
Putzbrunner Panther,653,142.0,359.0
Putzbrunner Panther,652,138.0,325.0
,SUM,,2768.0
