team,name,result,points
USC Schlagball,742,25.0,898.0
USC Schlagball,744,25.0,898.0
USC Schlagball,749,24.0,757.0
USC Schlagball,746,23.0,626.0
USC Schlagball,747,23.0,626.0
USC Schlagball,748,23.0,626.0
,SUM,,4431.0
Wolfe,731,25.0,898.0
Wolfe,729,24.0,757.0
Wolfe,730,24.0,757.0
Wolfe,734,24.0,757.0
Wolfe,732,23.0,626.0
Wolfe,722,20.0,301.0
,SUM,,4096.0
Adler,721,24.0,757.0
Adler,723,24.0,757.0
Adler,724,24.0,757.0
Adler,725,24.0,757.0
Adler,726,22.0,506.0
Adler,727,22.0,506.0
,SUM,,4040.0
Springende Kangurus,736,27.0,1214.0
Springende Kangurus,739,24.0,757.0
Springende Kangurus,737,23.0,626.0
Springende Kangurus,646,23.0,626.0
Springende Kangurus,741,22.0,506.0
Springende Kangurus,735,20.0,301.0
,SUM,,4030.0
Quantensprung,757,24.0,757.0
Quantensprung,758,24.0,757.0
Quantensprung,752,23.0,626.0
Quantensprung,760,23.0,626.0
Quantensprung,761,23.0,626.0
Quantensprung,753,22.0,506.0
,SUM,,3898.0
Jahn Speedies,763,25.0,898.0
Jahn Speedies,768,25.0,898.0
Jahn Speedies,767,22.0,506.0
Jahn Speedies,769,22.0,506.0
Jahn Speedies,764,21.0,398.0
Jahn Speedies,765,21.0,398.0
,SUM,,3604.0
