team,name,result,points
Quantensprung,755,72.0,2286.0
Quantensprung,752,66.0,1816.0
Quantensprung,757,65.0,1742.0
Quantensprung,754,64.0,1670.0
Quantensprung,760,63.0,1599.0
Quantensprung,761,55.0,1082.0
,SUM,,10195.0
USC Schlagball,742,80.0,2986.0
USC Schlagball,749,64.0,1670.0
USC Schlagball,744,58.0,1265.0
USC Schlagball,748,55.0,1082.0
USC Schlagball,694,55.0,1082.0
USC Schlagball,747,53.0,967.0
,SUM,,9052.0
Adler,724,61.0,1461.0
Adler,721,60.0,1395.0
Adler,725,57.0,1203.0
Adler,728,56.0,1142.0
Adler,727,54.0,1024.0
Adler,723,49.0,754.0
,SUM,,6979.0
Wolfe,731,61.0,1461.0
Wolfe,734,57.0,1203.0
Wolfe,722,53.0,967.0
Wolfe,732,48.0,704.0
Wolfe,730,42.0,439.0
Wolfe,729,39.0,327.0
,SUM,,5101.0
Kangurus,736,55.0,1082.0
Kangurus,741,49.0,754.0
Kangurus,739,46.0,610.0
Kangurus,646,44.0,521.0
Kangurus,735,41.0,400.0
Kangurus,737,39.0,327.0
,SUM,,3694.0
Jahn Speedies,763,58.0,1265.0
Jahn Speedies,768,48.0,704.0
Jahn Speedies,767,42.0,439.0
Jahn Speedies,764,41.0,400.0
Jahn Speedies,769,41.0,400.0
Jahn Speedies,765,34.0,175.0
,SUM,,3383.0
