team,name,result,points
Chilli Willi,134,2.35,299.0
Chilli Willi,140,2.35,299.0
Chilli Willi,135,2.3,290.0
Chilli Willi,136,2.3,290.0
Chilli Willi,133,2.2,273.0
Chilli Willi,139,2.1,255.0
,SUM,,1706.0
Powerkids,119,2.5,326.0
Powerkids,115,2.3,290.0
Powerkids,116,2.3,290.0
Powerkids,118,2.2,273.0
Powerkids,121,2.0,239.0
Powerkids,122,2.0,239.0
,SUM,,1657.0
Giraffen,209,2.5,326.0
Giraffen,214,2.45,317.0
Giraffen,213,2.2,273.0
Giraffen,212,2.1,255.0
Giraffen,216,2.1,255.0
Giraffen,210,1.85,214.0
,SUM,,1640.0
Bunte Hunde,197,2.5,326.0
Bunte Hunde,193,2.35,299.0
Bunte Hunde,194,2.2,273.0
Bunte Hunde,192,2.2,273.0
Bunte Hunde,190,1.9,222.0
Bunte Hunde,195,1.8,206.0
,SUM,,1599.0
Long Jumpers,280,2.48,323.0
Long Jumpers,281,2.17,267.0
Long Jumpers,273,2.16,266.0
Long Jumpers,279,2.02,242.0
Long Jumpers,282,1.89,220.0
Long Jumpers,284,1.88,219.0
,SUM,,1537.0
High Jumpers,288,2.4,308.0
High Jumpers,296,2.1,255.0
High Jumpers,291,2.0,239.0
High Jumpers,292,2.0,239.0
High Jumpers,295,2.0,239.0
High Jumpers,289,1.9,222.0
,SUM,,1502.0
Fledermause,217,2.26,283.0
Fledermause,221,2.23,278.0
Fledermause,220,2.13,261.0
Fledermause,219,2.03,244.0
Fledermause,222,1.91,224.0
Fledermause,223,1.56,168.0
,SUM,,1458.0
Putzbrunner Pagheeras,251,2.2,273.0
Putzbrunner Pagheeras,249,2.0,239.0
Putzbrunner Pagheeras,253,1.9,222.0
Putzbrunner Pagheeras,254,1.9,222.0
Putzbrunner Pagheeras,252,1.8,206.0
Putzbrunner Pagheeras,255,1.8,206.0
,SUM,,1368.0
Gazelle Haidhausen,200,2.14,262.0
Gazelle Haidhausen,199,2.02,242.0
Gazelle Haidhausen,203,1.98,235.0
Gazelle Haidhausen,202,1.96,232.0
Gazelle Haidhausen,204,1.91,224.0
Gazelle Haidhausen,201,1.41,146.0
,SUM,,1341.0
Manzoschule,177,2.2,273.0
Manzoschule,173,1.88,219.0
Manzoschule,171,1.71,191.0
Manzoschule,174,1.39,143.0
Manzoschule,175,1.23,121.0
Manzoschule,176,0.87,74.0
,SUM,,1021.0
