team,name,result,points
Seminargruppe fur Drehungen,143,17.0,216.0
Seminargruppe fur Drehungen,141,15.0,188.0
Seminargruppe fur Drehungen,147,15.0,188.0
Seminargruppe fur Drehungen,144,14.0,175.0
Seminargruppe fur Drehungen,138,12.0,148.0
Seminargruppe fur Drehungen,140,12.0,148.0
,SUM,,1063.0
Turbo Tiger,159,20.0,257.0
Turbo Tiger,60,18.0,230.0
Turbo Tiger,56,14.0,175.0
Turbo Tiger,55,12.0,148.0
Turbo Tiger,58,10.0,121.0
Turbo Tiger,54,8.0,95.0
,SUM,,1026.0
Bunte Hunde,113,16.0,202.0
Bunte Hunde,114,15.0,188.0
Bunte Hunde,117,14.0,175.0
Bunte Hunde,119,12.0,148.0
Bunte Hunde,116,11.0,135.0
Bunte Hunde,118,10.0,121.0
,SUM,,969.0
Putzbrunner Panther,27,15.0,188.0
Putzbrunner Panther,25,14.0,175.0
Putzbrunner Panther,28,13.0,161.0
Putzbrunner Panther,24,12.0,148.0
Putzbrunner Panther,26,10.0,121.0
Putzbrunner Panther,30,10.0,121.0
,SUM,,914.0
Mini Adler,66,15.0,188.0
Mini Adler,63,12.0,148.0
Mini Adler,65,12.0,148.0
Mini Adler,67,11.0,135.0
Mini Adler,64,10.0,121.0
Mini Adler,62,9.0,108.0
,SUM,,848.0
