team,name,result,points
Renngeisis 1,3,25.0,445.0
Renngeisis 1,1,24.0,425.0
Renngeisis 1,17,22.0,386.0
Renngeisis 1,5,20.0,348.0
Renngeisis 1,19,19.0,329.0
Renngeisis 1,2,17.0,291.0
,SUM,,2224.0
Adler,37,24.0,425.0
Adler,36,23.0,406.0
Adler,40,21.0,367.0
Adler,34,19.0,329.0
Adler,32,17.0,291.0
Adler,33,17.0,291.0
,SUM,,2109.0
Renngeisis 2,11,23.0,406.0
Renngeisis 2,13,22.0,386.0
Renngeisis 2,16,20.0,348.0
Renngeisis 2,8,18.0,310.0
Renngeisis 2,14,17.0,291.0
Renngeisis 2,15,16.0,272.0
,SUM,,2013.0
Lehrstuhl fur angewandte Schlagballbeschleunigung,84,22.0,386.0
Lehrstuhl fur angewandte Schlagballbeschleunigung,88,22.0,386.0
Lehrstuhl fur angewandte Schlagballbeschleunigung,89,18.0,310.0
Lehrstuhl fur angewandte Schlagballbeschleunigung,86,17.0,291.0
Lehrstuhl fur angewandte Schlagballbeschleunigung,87,14.0,235.0
Lehrstuhl fur angewandte Schlagballbeschleunigung,90,10.0,162.0
,SUM,,1770.0
Die JAHN-Speedies,83,24.0,425.0
Die JAHN-Speedies,75,23.0,406.0
Die JAHN-Speedies,78,15.0,253.0
Die JAHN-Speedies,81,14.0,235.0
Die JAHN-Speedies,76,12.0,198.0
Die JAHN-Speedies,79,12.0,198.0
,SUM,,1715.0
Forschungsgruppe Quantensprung,98,19.0,329.0
Forschungsgruppe Quantensprung,102,18.0,310.0
Forschungsgruppe Quantensprung,103,17.0,291.0
Forschungsgruppe Quantensprung,100,16.0,272.0
Forschungsgruppe Quantensprung,101,15.0,253.0
Forschungsgruppe Quantensprung,97,14.0,235.0
,SUM,,1690.0
Kangurus,111,24.0,425.0
Kangurus,110,17.0,291.0
Kangurus,106,15.0,253.0
Kangurus,107,14.0,235.0
Kangurus,109,13.0,216.0
Kangurus,112,12.0,198.0
,SUM,,1618.0
Wolfe,43,18.0,310.0
Wolfe,51,18.0,310.0
Wolfe,46,16.0,272.0
Wolfe,45,15.0,253.0
Wolfe,44,14.0,235.0
Wolfe,48,14.0,235.0
,SUM,,1615.0
Manzoschule,71,18.0,310.0
Manzoschule,68,16.0,272.0
Manzoschule,70,14.0,235.0
Manzoschule,74,12.0,198.0
Manzoschule,72,11.0,180.0
Manzoschule,73,7.0,109.0
,SUM,,1304.0
