team,name,result,points
Renngeisis 1,3,108.0,529.0
Renngeisis 1,2,109.0,520.0
Renngeisis 1,1,120.0,435.0
Renngeisis 1,6,123.0,416.0
Renngeisis 1,19,123.0,416.0
Renngeisis 1,18,124.0,410.0
,SUM,,2726.0
Adler,39,108.0,529.0
Adler,42,116.0,463.0
Adler,32,120.0,435.0
Adler,36,120.0,435.0
Adler,33,121.0,429.0
Adler,40,121.0,429.0
,SUM,,2720.0
Die JAHN-Speedies,83,114.0,479.0
Die JAHN-Speedies,78,118.0,449.0
Die JAHN-Speedies,75,120.0,435.0
Die JAHN-Speedies,79,121.0,429.0
Die JAHN-Speedies,81,123.0,416.0
Die JAHN-Speedies,76,131.0,370.0
,SUM,,2578.0
Lehrstuhl fur angewandte Schlagballbeschleunigung,84,101.0,599.0
Lehrstuhl fur angewandte Schlagballbeschleunigung,88,123.0,416.0
Lehrstuhl fur angewandte Schlagballbeschleunigung,87,128.0,386.0
Lehrstuhl fur angewandte Schlagballbeschleunigung,86,129.0,381.0
Lehrstuhl fur angewandte Schlagballbeschleunigung,89,131.0,370.0
Lehrstuhl fur angewandte Schlagballbeschleunigung,90,132.0,365.0
,SUM,,2517.0
Kangurus,111,116.0,463.0
Kangurus,106,117.0,456.0
Kangurus,112,122.0,422.0
Kangurus,107,125.0,404.0
Kangurus,109,129.0,381.0
Kangurus,108,136.0,345.0
,SUM,,2471.0
Forschungsgruppe Quantensprung,102,120.0,435.0
Forschungsgruppe Quantensprung,98,122.0,422.0
Forschungsgruppe Quantensprung,101,123.0,416.0
Forschungsgruppe Quantensprung,97,130.0,375.0
Forschungsgruppe Quantensprung,96,132.0,365.0
Forschungsgruppe Quantensprung,104,133.0,360.0
,SUM,,2373.0
Wolfe,43,115.0,471.0
Wolfe,51,123.0,416.0
Wolfe,52,130.0,375.0
Wolfe,49,131.0,370.0
Wolfe,48,132.0,365.0
Wolfe,47,137.0,341.0
,SUM,,2338.0
Renngeisis 2,13,114.0,479.0
Renngeisis 2,9,118.0,449.0
Renngeisis 2,14,123.0,416.0
Renngeisis 2,16,139.0,332.0
Renngeisis 2,23,139.0,332.0
Renngeisis 2,15,140.0,327.0
,SUM,,2335.0
Manzoschule,71,123.0,416.0
Manzoschule,68,124.0,410.0
Manzoschule,73,141.0,323.0
Manzoschule,72,142.0,319.0
Manzoschule,74,184.0,197.0
Manzoschule,70,186.0,193.0
,SUM,,1858.0
