team,name,result,points
Chilli Willi,627,890.0,715.0
Chilli Willi,628,880.0,693.0
Chilli Willi,631,880.0,693.0
Chilli Willi,633,880.0,693.0
Chilli Willi,624,870.0,671.0
Chilli Willi,629,840.0,606.0
,SUM,,4071.0
Jahn Powerkids,582,880.0,693.0
Jahn Powerkids,580,840.0,606.0
Jahn Powerkids,587,830.0,585.0
Jahn Powerkids,586,820.0,565.0
Jahn Powerkids,583,810.0,544.0
Jahn Powerkids,585,810.0,544.0
,SUM,,3537.0
Wolfe,646,900.0,738.0
Wolfe,643,830.0,585.0
Wolfe,648,830.0,585.0
Wolfe,650,830.0,585.0
Wolfe,647,800.0,524.0
Wolfe,642,770.0,466.0
,SUM,,3483.0
Giraffen,651,930.0,808.0
Giraffen,652,820.0,565.0
Giraffen,653,820.0,565.0
Giraffen,656,820.0,565.0
Giraffen,654,720.0,376.0
Giraffen,655,670.0,294.0
,SUM,,3173.0
Flitzeblitze,602,900.0,738.0
Flitzeblitze,606,870.0,671.0
Flitzeblitze,598,770.0,466.0
Flitzeblitze,604,760.0,448.0
Flitzeblitze,607,750.0,429.0
Flitzeblitze,599,740.0,411.0
,SUM,,3163.0
Turbotornados,609,830.0,585.0
Turbotornados,610,830.0,585.0
Turbotornados,613,810.0,544.0
Turbotornados,615,810.0,544.0
Turbotornados,616,790.0,505.0
Turbotornados,612,670.0,294.0
,SUM,,3057.0
Bunte Hunde,673,890.0,715.0
Bunte Hunde,674,790.0,505.0
Bunte Hunde,668,780.0,485.0
Bunte Hunde,670,770.0,466.0
Bunte Hunde,671,730.0,393.0
Bunte Hunde,672,720.0,376.0
,SUM,,2940.0
Wirbelwinde,617,770.0,466.0
Wirbelwinde,622,740.0,411.0
Wirbelwinde,623,740.0,411.0
Wirbelwinde,620,720.0,376.0
Wirbelwinde,621,720.0,376.0
Wirbelwinde,618,700.0,342.0
,SUM,,2382.0
Gazelle Haidhausen,675,750.0,429.0
Gazelle Haidhausen,679,750.0,429.0
Gazelle Haidhausen,677,720.0,376.0
Gazelle Haidhausen,676,710.0,359.0
Gazelle Haidhausen,681,700.0,342.0
Gazelle Haidhausen,683,700.0,342.0
,SUM,,2277.0
