team,name,result,points
Wolfe,646,95.0,669.0
Wolfe,650,90.0,606.0
Wolfe,647,85.0,545.0
Wolfe,649,85.0,545.0
Wolfe,642,80.0,485.0
Wolfe,643,80.0,485.0
,SUM,,3335.0
Turbotornados,610,90.0,606.0
Turbotornados,613,90.0,606.0
Turbotornados,616,85.0,545.0
Turbotornados,609,80.0,485.0
Turbotornados,614,75.0,428.0
Turbotornados,615,75.0,428.0
,SUM,,3098.0
Chilli Willi,629,85.0,545.0
Chilli Willi,631,85.0,545.0
Chilli Willi,633,85.0,545.0
Chilli Willi,267,80.0,485.0
Chilli Willi,628,80.0,485.0
Chilli Willi,624,75.0,428.0
,SUM,,3033.0
Flitzeblitze,602,90.0,606.0
Flitzeblitze,606,85.0,545.0
Flitzeblitze,589,80.0,485.0
Flitzeblitze,604,80.0,485.0
Flitzeblitze,599,75.0,428.0
Flitzeblitze,607,75.0,428.0
,SUM,,2977.0
Bunte Hunde,668,95.0,669.0
Bunte Hunde,670,85.0,545.0
Bunte Hunde,671,80.0,485.0
Bunte Hunde,673,80.0,485.0
Bunte Hunde,672,70.0,372.0
Bunte Hunde,669,60.0,267.0
,SUM,,2823.0
Jahn Powerkids,580,95.0,669.0
Jahn Powerkids,582,85.0,545.0
Jahn Powerkids,581,70.0,372.0
Jahn Powerkids,584,70.0,372.0
Jahn Powerkids,585,70.0,372.0
Jahn Powerkids,587,70.0,372.0
,SUM,,2702.0
Wirbelwinde,617,95.0,669.0
Wirbelwinde,619,75.0,428.0
Wirbelwinde,620,75.0,428.0
Wirbelwinde,618,70.0,372.0
Wirbelwinde,621,70.0,372.0
Wirbelwinde,622,70.0,372.0
,SUM,,2641.0
Giraffen,651,90.0,606.0
Giraffen,652,80.0,485.0
Giraffen,656,80.0,485.0
Giraffen,653,75.0,428.0
Giraffen,654,60.0,267.0
Giraffen,657,60.0,267.0
,SUM,,2538.0
Gazelle Haidhausen,675,75.0,428.0
Gazelle Haidhausen,679,75.0,428.0
Gazelle Haidhausen,676,60.0,267.0
Gazelle Haidhausen,677,60.0,267.0
Gazelle Haidhausen,682,60.0,267.0
Gazelle Haidhausen,683,50.0,172.0
,SUM,,1829.0
