team,name,result,points
Teilchenbeschleuniger,558,130.0,1072.0
Teilchenbeschleuniger,550,120.0,925.0
Teilchenbeschleuniger,552,115.0,854.0
Teilchenbeschleuniger,551,105.0,717.0
Teilchenbeschleuniger,554,100.0,651.0
Teilchenbeschleuniger,555,100.0,651.0
,SUM,,4870.0
Quantenspringer,567,120.0,925.0
Quantenspringer,566,115.0,854.0
Quantenspringer,561,105.0,717.0
Quantenspringer,565,105.0,717.0
Quantenspringer,569,105.0,717.0
Quantenspringer,560,100.0,651.0
,SUM,,4581.0
Springende Kangurus,659,115.0,854.0
Springende Kangurus,665,105.0,717.0
Springende Kangurus,667,105.0,717.0
Springende Kangurus,661,100.0,651.0
Springende Kangurus,662,100.0,651.0
Springende Kangurus,660,90.0,524.0
,SUM,,4114.0
Adler,634,115.0,854.0
Adler,641,105.0,717.0
Adler,483,105.0,717.0
Adler,636,100.0,651.0
Adler,635,90.0,524.0
Adler,639,90.0,524.0
,SUM,,3987.0
Grunwald,707,100.0,651.0
Grunwald,708,100.0,651.0
Grunwald,711,90.0,524.0
Grunwald,705,80.0,406.0
Grunwald,706,80.0,406.0
Grunwald,709,80.0,406.0
,SUM,,3044.0
Manzoschule,686,90.0,524.0
Manzoschule,685,90.0,524.0
Manzoschule,687,80.0,406.0
Manzoschule,688,70.0,297.0
,SUM,,1751.0
