team,name,result,points
Teilchenbeschleuniger,558,7.74,809.0
Teilchenbeschleuniger,550,7.96,748.0
Teilchenbeschleuniger,552,8.23,677.0
Teilchenbeschleuniger,549,8.48,614.0
Teilchenbeschleuniger,555,8.95,504.0
Teilchenbeschleuniger,559,8.95,504.0
,SUM,,3856.0
Adler,634,8.41,632.0
Adler,483,8.48,614.0
Adler,635,8.7,561.0
Adler,641,8.9,515.0
Adler,638,8.99,495.0
Adler,637,9.11,468.0
,SUM,,3285.0
Quantenspringer,565,8.59,588.0
Quantenspringer,569,8.59,588.0
Quantenspringer,567,8.81,536.0
Quantenspringer,570,8.81,536.0
Quantenspringer,566,8.88,519.0
Quantenspringer,562,9.08,475.0
,SUM,,3242.0
Springende Kangurus,667,8.46,619.0
Springende Kangurus,659,8.6,585.0
Springende Kangurus,662,8.79,540.0
Springende Kangurus,665,9.21,447.0
Springende Kangurus,663,9.32,423.0
Springende Kangurus,661,9.49,389.0
,SUM,,3003.0
Grunwald,707,8.78,542.0
Grunwald,708,10.0,292.0
Grunwald,710,10.02,289.0
Grunwald,711,10.19,260.0
Grunwald,706,10.19,260.0
Grunwald,709,10.72,178.0
,SUM,,1821.0
Manzoschule,686,8.7,561.0
Manzoschule,685,9.46,395.0
Manzoschule,687,9.79,330.0
Manzoschule,690,10.65,188.0
Manzoschule,688,10.95,146.0
Manzoschule,691,12.74,3.0
,SUM,,1623.0
