team,name,result,points
Chilli Willi,344,8.88,523.0
Chilli Willi,347,8.9,520.0
Chilli Willi,352,9.16,489.0
Chilli Willi,348,9.21,483.0
Chilli Willi,349,9.8,416.0
Chilli Willi,345,9.84,412.0
,SUM,,2843.0
Giraffen,394,9.14,492.0
Giraffen,398,9.22,482.0
Giraffen,406,9.25,479.0
Giraffen,404,9.35,467.0
Giraffen,397,9.41,460.0
Giraffen,396,9.69,428.0
,SUM,,2808.0
Powerkids,452,8.95,514.0
Powerkids,451,9.05,502.0
Powerkids,455,9.63,435.0
Powerkids,456,9.71,426.0
Powerkids,453,9.73,424.0
Powerkids,448,9.83,413.0
,SUM,,2714.0
Bunte Hunde,365,8.65,551.0
Bunte Hunde,370,8.83,529.0
Bunte Hunde,366,9.35,467.0
Bunte Hunde,369,9.86,409.0
Bunte Hunde,371,10.24,368.0
Bunte Hunde,367,11.71,226.0
,SUM,,2550.0
Highjumpers,412,8.69,546.0
Highjumpers,411,9.01,507.0
Highjumpers,414,9.62,436.0
Highjumpers,415,10.0,394.0
Highjumpers,417,10.26,366.0
Highjumpers,416,11.05,287.0
,SUM,,2536.0
Gazelle Haidhausen,380,9.32,470.0
Gazelle Haidhausen,379,9.56,443.0
Gazelle Haidhausen,373,9.69,428.0
Gazelle Haidhausen,374,9.89,406.0
Gazelle Haidhausen,378,10.18,375.0
Gazelle Haidhausen,372,10.39,353.0
,SUM,,2475.0
Longjumpers,422,9.28,475.0
Longjumpers,421,9.52,447.0
Longjumpers,428,9.73,424.0
Longjumpers,425,10.0,394.0
Longjumpers,426,10.13,380.0
Longjumpers,427,10.49,342.0
,SUM,,2462.0
Manzoschule,437,11.11,281.0
Manzoschule,441,13.09,119.0
Manzoschule,438,13.8,75.0
Manzoschule,440,16.0,0.0
Manzoschule,286,16.0,0.0
Manzoschule,439,16.0,0.0
,SUM,,475.0
