team,name,result,points
Giraffen,406,11.0,203.0
Giraffen,402,10.0,185.0
Giraffen,404,8.0,148.0
Giraffen,394,7.0,129.0
Giraffen,395,7.0,129.0
Giraffen,397,7.0,129.0
,SUM,,923.0
Chilli Willi,347,9.0,166.0
Chilli Willi,344,8.0,148.0
Chilli Willi,348,8.0,148.0
Chilli Willi,349,8.0,148.0
Chilli Willi,351,8.0,148.0
Chilli Willi,345,7.0,129.0
,SUM,,887.0
Teilchenbeschleuniger,332,10.0,185.0
Teilchenbeschleuniger,326,9.0,166.0
Teilchenbeschleuniger,323,7.0,129.0
Teilchenbeschleuniger,329,7.0,129.0
Teilchenbeschleuniger,331,7.0,129.0
Teilchenbeschleuniger,324,6.0,111.0
,SUM,,849.0
Bunte Hunde,365,8.0,148.0
Bunte Hunde,370,8.0,148.0
Bunte Hunde,371,6.0,111.0
Bunte Hunde,366,6.0,111.0
Bunte Hunde,367,6.0,111.0
Bunte Hunde,369,4.0,74.0
,SUM,,703.0
Powerkids,448,7.0,129.0
Powerkids,452,7.0,129.0
Powerkids,451,6.0,111.0
Powerkids,453,6.0,111.0
Powerkids,450,5.0,92.0
Powerkids,455,5.0,92.0
,SUM,,664.0
Longjumpers,421,8.0,148.0
Longjumpers,422,6.0,111.0
Longjumpers,426,6.0,111.0
Longjumpers,424,5.0,92.0
Longjumpers,425,5.0,92.0
Longjumpers,420,4.0,74.0
,SUM,,628.0
Highjumpers,411,7.0,129.0
Highjumpers,415,7.0,129.0
Highjumpers,414,6.0,111.0
Highjumpers,412,5.0,92.0
Highjumpers,413,4.0,74.0
Highjumpers,417,4.0,74.0
,SUM,,609.0
Gazelle Haidhausen,379,7.0,129.0
Gazelle Haidhausen,377,6.0,111.0
Gazelle Haidhausen,373,5.0,92.0
Gazelle Haidhausen,380,5.0,92.0
Gazelle Haidhausen,374,4.0,74.0
Gazelle Haidhausen,375,4.0,74.0
,SUM,,572.0
Manzoschule,437,7.0,129.0
Manzoschule,438,4.0,74.0
Manzoschule,286,4.0,74.0
Manzoschule,439,4.0,74.0
Manzoschule,440,3.0,55.0
Manzoschule,441,3.0,55.0
,SUM,,461.0
