team,name,result,points
renngeisis zwei,179,7.5,426
renngeisis zwei,178,6,337
renngeisis zwei,183,5.5,307
renngeisis zwei,180,5,278
renngeisis zwei,181,5,278
renngeisis zwei,182,5,278
,SUM,,1904
master of health science,306,6,337
master of health science,309,6,337
master of health science,304,5.5,307
master of health science,307,5.5,307
master of health science,308,5.5,307
master of health science,300,5,278
,SUM,,1873
rennsemmeln,352,7,396
rennsemmeln,358,6,337
rennsemmeln,354,5,278
rennsemmeln,353,4.5,249
rennsemmeln,350,4,220
rennsemmeln,351,4,220
,SUM,,1700
turbo tiger,362,5.5,307
turbo tiger,366,5.5,307
turbo tiger,367,5.5,307
turbo tiger,361,5,278
turbo tiger,360,4,220
turbo tiger,369,4,220
,SUM,,1639
seminargruppe horizontale sprunge,314,5.5,307
seminargruppe horizontale sprunge,313,4.5,249
seminargruppe horizontale sprunge,315,4.5,249
seminargruppe horizontale sprunge,316,4.5,249
seminargruppe horizontale sprunge,317,4.5,249
seminargruppe horizontale sprunge,319,4.5,249
,SUM,,1552
bunte hunde,284,5,278
bunte hunde,278,4.5,249
bunte hunde,282,4.5,249
bunte hunde,280,4,220
bunte hunde,283,4,220
bunte hunde,397,3.5,191
,SUM,,1407
psv panther,395,5,278
psv panther,226,4.5,249
psv panther,229,4.5,249
psv panther,227,4,220
psv panther,228,3.5,191
psv panther,230,3.5,191
,SUM,,1378
jahn speedies junior zwei,344,5,278
jahn speedies junior zwei,346,4.5,249
jahn speedies junior zwei,347,4.5,249
jahn speedies junior zwei,340,3.5,191
jahn speedies junior zwei,345,3.5,191
jahn speedies junior zwei,394,5.5,307
,SUM,,1465
jahn speedies junior eins,331,4.5,249
jahn speedies junior eins,333,4,220
jahn speedies junior eins,334,4,220
jahn speedies junior eins,336,4,220
jahn speedies junior eins,337,4,220
jahn speedies junior eins,335,3.5,191
,SUM,,1320
psv leoparden,382,5.5,307
psv leoparden,381,5,278
psv leoparden,385,3.5,191
psv leoparden,392,3.5,191
psv leoparden,383,3,162
psv leoparden,386,3,162
,SUM,,1291
mini adler,378,4.5,249
mini adler,371,4,220
mini adler,376,4,220
mini adler,379,4,220
mini adler,370,3.5,191
mini adler,373,3.5,191
,SUM,,1291
hasen und igel,271,4,220
hasen und igel,272,3.5,191
hasen und igel,275,3.5,191
hasen und igel,276,3.5,191
hasen und igel,277,3.5,191
hasen und igel,273,2.5,134
,SUM,,1118
grunwald,236,3.5,191
grunwald,246,3.5,191
grunwald,244,3.5,191
grunwald,245,3.5,191
grunwald,247,3,162
grunwald,249,3,162
,SUM,,1088
