team,name,result,points
Quantenspringer,341,7.5,426.0
Quantenspringer,333,7.0,396.0
Quantenspringer,342,7.0,396.0
Quantenspringer,334,6.0,337.0
Quantenspringer,336,6.0,337.0
Quantenspringer,338,6.0,337.0
,SUM,,2229.0
TSV Grunwald,302,8.0,456.0
TSV Grunwald,301,8.0,456.0
TSV Grunwald,300,6.5,366.0
TSV Grunwald,303,5.5,307.0
TSV Grunwald,299,5.0,278.0
TSV Grunwald,298,4.5,249.0
,SUM,,2112.0
Springende Kangurus,356,7.0,396.0
Springende Kangurus,353,6.5,366.0
Springende Kangurus,355,6.0,337.0
Springende Kangurus,358,6.0,337.0
Springende Kangurus,359,5.5,307.0
Springende Kangurus,361,5.5,307.0
,SUM,,2050.0
Teilchenbeschleuniger,332,7.5,426.0
Teilchenbeschleuniger,326,7.0,396.0
Teilchenbeschleuniger,323,6.0,337.0
Teilchenbeschleuniger,329,6.0,337.0
Teilchenbeschleuniger,330,5.0,278.0
Teilchenbeschleuniger,328,4.5,249.0
,SUM,,2023.0
TS Jahn Speedies,287,7.5,426.0
TS Jahn Speedies,443,7.0,396.0
TS Jahn Speedies,446,6.0,337.0
TS Jahn Speedies,447,5.5,307.0
TS Jahn Speedies,442,5.0,278.0
TS Jahn Speedies,445,5.0,278.0
,SUM,,2022.0
Manzoschule,431,6.0,337.0
Manzoschule,432,6.0,337.0
Manzoschule,429,5.5,307.0
Manzoschule,430,5.5,307.0
Manzoschule,435,5.5,307.0
Manzoschule,433,4.5,249.0
,SUM,,1844.0
Adler,386,6.0,337.0
Adler,390,6.0,337.0
Adler,383,5.0,278.0
Adler,385,4.5,249.0
Adler,389,4.5,249.0
Adler,400,4.5,249.0
,SUM,,1699.0
Turbokids,475,6.0,337.0
Turbokids,479,6.0,337.0
Turbokids,477,5.5,307.0
Turbokids,476,4.5,249.0
Turbokids,478,4.0,220.0
Turbokids,480,4.0,220.0
,SUM,,1670.0
