team,name,result,points
Wilde Pferde,558,80.0,485.0
Wilde Pferde,560,80.0,485.0
Wilde Pferde,559,70.0,372.0
Wilde Pferde,556,60.0,267.0
Wilde Pferde,561,60.0,267.0
Wilde Pferde,557,60.0,267.0
,SUM,,2143.0
Hohenflieger,491,80.0,485.0
Hohenflieger,488,70.0,372.0
Hohenflieger,490,70.0,372.0
Hohenflieger,493,70.0,372.0
Hohenflieger,487,60.0,267.0
Hohenflieger,489,60.0,267.0
,SUM,,2135.0
Chilly Willy,400,80.0,485.0
Chilly Willy,405,80.0,485.0
Chilly Willy,401,60.0,267.0
Chilly Willy,402,60.0,267.0
Chilly Willy,406,60.0,267.0
Chilly Willy,407,60.0,267.0
,SUM,,2038.0
Pagheras,544,80.0,485.0
Pagheras,543,70.0,372.0
Pagheras,546,60.0,267.0
Pagheras,541,50.0,172.0
Pagheras,452,50.0,172.0
Pagheras,545,50.0,172.0
,SUM,,1640.0
