team,name,result,points
Seminargruppe fur Drehungen,141,20.0,348.0
Seminargruppe fur Drehungen,143,16.0,272.0
Seminargruppe fur Drehungen,144,15.0,253.0
Seminargruppe fur Drehungen,137,14.0,235.0
Seminargruppe fur Drehungen,145,13.0,216.0
Seminargruppe fur Drehungen,140,12.0,198.0
,SUM,,1522.0
Putzbrunner Panther,28,17.0,291.0
Putzbrunner Panther,24,15.0,253.0
Putzbrunner Panther,25,15.0,253.0
Putzbrunner Panther,27,15.0,253.0
Putzbrunner Panther,31,15.0,253.0
Putzbrunner Panther,30,12.0,198.0
,SUM,,1501.0
Turbo Tiger,60,18.0,310.0
Turbo Tiger,55,14.0,235.0
Turbo Tiger,56,13.0,216.0
Turbo Tiger,58,13.0,216.0
Turbo Tiger,159,13.0,216.0
Turbo Tiger,57,9.0,144.0
,SUM,,1337.0
Bunte Hunde,113,14.0,235.0
Bunte Hunde,117,12.0,198.0
Bunte Hunde,114,12.0,198.0
Bunte Hunde,119,11.0,180.0
Bunte Hunde,127,10.0,162.0
Bunte Hunde,116,10.0,162.0
,SUM,,1135.0
Mini Adler,67,11.0,180.0
Mini Adler,66,10.0,162.0
Mini Adler,63,9.0,144.0
Mini Adler,62,7.0,109.0
Mini Adler,64,7.0,109.0
Mini Adler,65,7.0,109.0
,SUM,,813.0
