team,name,result,points
Adler,42,27.0,356.0
Adler,37,26.0,342.0
Adler,36,25.0,327.0
Adler,34,21.0,271.0
Adler,33,19.0,243.0
Adler,40,19.0,243.0
,SUM,,1782.0
Lehrstuhl fur angewandte Schlagballbeschleunigung,88,30.0,399.0
Lehrstuhl fur angewandte Schlagballbeschleunigung,89,27.0,356.0
Lehrstuhl fur angewandte Schlagballbeschleunigung,84,26.0,342.0
Lehrstuhl fur angewandte Schlagballbeschleunigung,86,18.0,230.0
Lehrstuhl fur angewandte Schlagballbeschleunigung,92,17.0,216.0
Lehrstuhl fur angewandte Schlagballbeschleunigung,87,16.0,202.0
,SUM,,1745.0
Renngeisis 1,2,26.0,342.0
Renngeisis 1,1,24.0,313.0
Renngeisis 1,3,21.0,271.0
Renngeisis 1,19,21.0,271.0
Renngeisis 1,17,18.0,230.0
Renngeisis 1,5,17.0,216.0
,SUM,,1643.0
Die JAHN-Speedies,78,30.0,399.0
Die JAHN-Speedies,83,22.0,285.0
Die JAHN-Speedies,81,19.0,243.0
Die JAHN-Speedies,79,16.0,202.0
Die JAHN-Speedies,76,15.0,188.0
Die JAHN-Speedies,75,14.0,175.0
,SUM,,1492.0
Wolfe,43,22.0,285.0
Wolfe,51,19.0,243.0
Wolfe,52,19.0,243.0
Wolfe,46,17.0,216.0
Wolfe,48,17.0,216.0
Wolfe,44,16.0,202.0
,SUM,,1405.0
Renngeisis 2,13,28.0,370.0
Renngeisis 2,8,20.0,257.0
Renngeisis 2,9,19.0,243.0
Renngeisis 2,14,16.0,202.0
Renngeisis 2,15,13.0,161.0
Renngeisis 2,16,13.0,161.0
,SUM,,1394.0
Kangurus,111,26.0,342.0
Kangurus,112,26.0,342.0
Kangurus,110,15.0,188.0
Kangurus,106,13.0,161.0
Kangurus,107,13.0,161.0
Kangurus,108,13.0,161.0
,SUM,,1355.0
Forschungsgruppe Quantensprung,98,23.0,299.0
Forschungsgruppe Quantensprung,102,19.0,243.0
Forschungsgruppe Quantensprung,97,15.0,188.0
Forschungsgruppe Quantensprung,100,15.0,188.0
Forschungsgruppe Quantensprung,101,14.0,175.0
Forschungsgruppe Quantensprung,103,14.0,175.0
,SUM,,1268.0
Manzoschule,71,23.0,299.0
Manzoschule,68,16.0,202.0
Manzoschule,70,12.0,148.0
Manzoschule,74,10.0,121.0
Manzoschule,73,9.0,108.0
Manzoschule,72,8.0,95.0
,SUM,,973.0
